                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9112,                 4.7087,                 3.5604,                 1.3598,                0.14166,                0.14286,                 0.0604,                0.04471,                0.14166,                0.14286,                0.05948,                0.02449,                0.92388,                 3.8162,                 5.0246,                 1.5229,                 0.0955,                 0.0005,                 0.0005
                      1,                0.83412,                 4.1307,                 3.2703,                 1.2793,                0.84601,                0.21429,                0.20419,                 0.1563,                0.84601,                0.21429,                0.20304,                0.12635,                0.84629,                 2.6264,                 3.7184,                 1.3418,               0.090089,              0.0010891,              0.0010891
                      2,                0.63212,                 2.2773,                 2.4447,                 1.1693,                0.54309,                0.61905,                0.48689,                0.36137,                0.67475,                0.78571,                0.75083,                0.36927,                0.82216,                  1.757,                 2.8625,                  1.361,               0.084666,              0.0016663,              0.0016663
                      3,                0.53136,                 1.4138,                 1.8071,                 1.1069,                0.90463,                0.73695,                0.91144,                0.57411,                0.90463,                0.73695,                0.91144,                 0.5808,                0.65054,                 1.2395,                 2.4076,                 1.2607,               0.079232,              0.0022317,              0.0022317
                      4,                0.45589,                 1.1233,                 1.4043,                 1.0515,                0.48423,                0.75826,                0.78175,                0.66492,                0.48423,                0.75826,                0.78175,                0.72602,                0.61335,                0.56921,                 2.0456,                 1.1008,               0.073785,              0.0027852,              0.0027852
                      5,                0.43264,                0.82119,                 1.1342,                 1.0043,                0.96271,                      1,                  0.995,                0.87726,                0.96271,                      1,                  0.995,                0.85342,                0.53708,                0.84617,                  1.199,                 1.0992,               0.068327,              0.0033267,              0.0033267
                      6,                 0.4426,                0.76402,                 1.0582,                0.99769,                0.94529,                0.93511,                  0.995,                0.83625,                0.94529,                0.93511,                  0.995,                0.90529,                0.68102,                0.49451,                 1.0026,                 1.2755,               0.062856,              0.0038565,              0.0038565
                      7,                0.46646,                0.76419,                  0.959,                  1.048,                 0.8616,                0.93759,                  0.995,                0.80784,                 0.8616,                0.93759,                  0.995,                0.87752,                0.65877,                0.68417,                0.95834,                 1.1984,               0.057374,              0.0043743,              0.0043743
                      8,                0.39458,                0.66284,                0.76249,                 0.9908,                0.81887,                      1,                0.95938,                0.74544,                0.81887,                      1,                0.95938,                0.54456,                0.83402,                 2.1715,                0.92149,                 1.5092,                0.05188,              0.0048802,              0.0048802
                      9,                0.40983,                0.53388,                0.64391,                0.98537,                0.90724,                0.98843,                  0.995,                0.85059,                0.90724,                0.98843,                  0.995,                 0.8636,                0.55808,                 1.1053,                0.62577,                 1.0619,               0.046374,              0.0053743,              0.0053743
