                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.81586,                  3.837,                 3.2155,                 1.2984,                0.01631,                0.92857,                0.03422,                0.01976,                0.01584,                 0.7619,                0.03177,                 0.0118,                0.94748,                 3.2849,                 4.0925,                 1.4098,                 0.0955,                 0.0005,                 0.0005
                      1,                0.78107,                 3.1729,                 3.1521,                 1.2347,                0.32326,                0.39954,                0.35706,                0.27739,                0.25898,                0.29619,                0.32968,                0.26594,                0.70215,                 2.1278,                 3.5044,                 1.1909,               0.090089,              0.0010891,              0.0010891
                      2,                0.70317,                 2.3245,                 2.5167,                 1.2109,                0.46064,                0.59524,                0.49738,                0.35631,                0.34041,                0.35714,                0.40887,                 0.2383,                0.74878,                 2.5327,                 3.0343,                 1.2516,               0.084666,              0.0016663,              0.0016663
                      3,                0.53334,                 1.4692,                 1.8487,                 1.0689,                0.59663,                0.79466,                0.62344,                0.57508,                0.59663,                0.79466,                0.62344,                0.54883,                0.31748,                0.92061,                 2.6527,                0.79858,               0.079232,              0.0022317,              0.0022317
                      4,                0.48169,                 1.1918,                 1.4667,                 1.0468,                0.55969,                0.96768,                0.63318,                0.60791,                0.55969,                0.96768,                0.63318,                0.55332,                0.30841,                 0.7824,                  1.785,                 0.7435,               0.073785,              0.0027852,              0.0027852
                      5,                0.44237,                 1.0188,                 1.1956,                 1.0437,                 0.7096,                0.98845,                 0.9125,                0.83783,                 0.7096,                0.98845,                 0.9125,                0.79981,                0.29026,                0.52115,                 1.2524,                0.72107,               0.068327,              0.0033267,              0.0033267
                      6,                0.42566,                 1.0616,                 1.0529,                 1.0101,                0.83281,                 0.8437,                0.95375,                0.91665,                0.83281,                 0.8437,                0.95375,                0.84851,                0.39277,                0.50235,                0.88881,                0.81228,               0.062856,              0.0038565,              0.0038565
                      7,                0.42442,                0.85581,                0.95501,                 1.0144,                 0.9788,                      1,                  0.995,                0.97053,                 0.9788,                      1,                  0.995,                0.95363,                 0.2892,                0.34759,                0.60974,                0.73841,               0.057374,              0.0043743,              0.0043743
                      8,                0.37181,                0.80662,                0.74741,                0.99323,                0.95008,                      1,                  0.995,                0.92405,                0.95008,                      1,                  0.995,                0.91227,                 0.3804,                0.57936,                0.65508,                0.86596,                0.05188,              0.0048802,              0.0048802
                      9,                0.34482,                0.60864,                 0.6182,                0.95302,                0.93964,                0.98771,                  0.995,                0.94716,                0.93964,                0.98771,                  0.995,                0.96743,                0.35032,                0.32826,                0.58537,                0.79513,               0.046374,              0.0053743,              0.0053743
